Card Name,Rarity,Number,Price,Market Price,Listing Count,Mention Count
Ground Xeno,Ultra Rare,#WISU-EN006,$26.48,$27.68,79,0
Vanquish Soul Razen,Ultra Rare,#WISU-EN016,$25.00,$25.58,81,0
Triple Tactics Thrust,Secret Rare,#PHHY-EN069,$65.00,$70.68,59,4
Pot of Prosperity,Prismatic Secret Rare,#MP22-EN037,$35.00,$35.85,71,10
Kashtira Fenrir,Ultra Rare,#DABL-EN012,$37.00,$41.12,45,6
The Bystial Lubellion,Secret Rare,#DABL-EN009,$69.69,$70.51,32,4
Rock of the Vanquisher,Ultra Rare,#WISU-EN022,$13.00,$16.17,81,0
Stake your Soul!,Ultra Rare,#WISU-EN023,$15.95,$16.59,80,0
Vanquish Soul Heavy Borger,Ultra Rare,#WISU-EN018,$15.00,$15.90,86,0
Chaos Angel,Secret Rare,#CYAC-EN044,$59.99,$64.20,43,3
Vanquish Soul Dr. Mad Love,Ultra Rare,#WISU-EN019,$15.00,$15.52,72,0
"Blazing Cartesia, the Virtuous",Secret Rare,#DABL-EN011,$46.86,$49.06,70,2
Kurikara Divincarnate,Secret Rare,#POTE-EN031,$45.00,$51.90,47,1
Sky Striker Ace - Azalea,Secret Rare,#BLMR-EN052,$18.99,$19.25,23,1
Runick Tip,Ultra Rare,#TAMA-EN029,$26.00,$27.58,44,0
Baronne de Fleur,Ultra Rare,#MAZE-EN051,$46.00,$52.94,79,2
Rite of Aramesir,Secret Rare,#BLMR-EN093,$16.00,$15.50,15,2
Vanquish Soul Razen (CR),Collector's Rare,#WISU-EN016,$118.93,$124.38,19,0
Bystial Magnamhut,Super Rare,#DABL-EN006,$14.49,$14.87,69,1
Triple Tactics Talent,Ultra Rare,#MP21-EN143,$15.50,$15.48,85,12
Assault Synchron,Secret Rare,#BLMR-EN003,$9.91,$10.84,128,3
Duality,Secret Rare,#BLMR-EN036,$10.94,$11.43,96,4
Infinite Impermanence,Super Rare,#SDCS-EN036,$8.00,$11.03,113,84
Peaceful Planet Calarium,Secret Rare,#CYAC-EN058,$24.50,$26.65,70,0
Voici la Carte (Today's Menu),Ultra Rare,#WISU-EN036,$5.63,$6.61,98,1
Vanquish Soul Dr. Mad Love (CR),Collector's Rare,#WISU-EN019,$72.00,$76.39,23,0
Spright Blue,Secret Rare,#POTE-EN003,$26.97,$27.17,63,2
"Guiding Quem, the Virtuous",Secret Rare,#CYAC-EN011,$21.99,$24.49,151,2
